payment_id,invoice_id,payment_date,amount,payment_method,reference_number,_ingested_at
366,15,2025-05-07,20.77,credit_card,REF-630378,2025-05-07T12:18:04
367,333,2024-07-07,10.57,ach,REF-560265,2024-07-08T03:39:40
368,65,2025-01-28,68.46,ach,REF-503047,2025-01-28T19:50:47
369,339,2025-01-11,288.23,bank_transfer,REF-884151,2025-01-11T14:52:33
370,112,2025-06-28,53.88,check,REF-885654,2025-06-28T18:24:11
371,373,2025-09-27,28.56,credit_card,REF-535580,2025-09-28T06:23:06
372,419,2025-08-06,87.03,wire,REF-379076,2025-08-07T00:25:59
373,302,2025-09-28,26.77,wire,REF-142252,2025-09-29T08:36:26
374,443,2025-11-19,67.28,ach,REF-500441,2025-11-20T00:40:19
375,69,2025-12-27,15.11,wire,REF-340619,2025-12-27T15:19:46
376,454,2025-09-19,38.26,credit_card,REF-940908,2025-09-19T16:10:26
377,413,2024-06-27,19.95,ach,REF-191273,2024-06-28T11:40:21
378,431,2025-05-26,21.99,ach,REF-139189,2025-05-26T21:26:23
379,412,2025-09-03,81.87,ach,REF-180440,2025-09-03T16:00:23
380,385,2025-01-09,18.79,wire,REF-945352,2025-01-10T02:02:48
381,203,2024-06-29,305.31,ach,REF-847008,2024-06-30T02:32:08
382,102,2025-08-04,91.00,credit_card,REF-692057,2025-08-05T13:39:41
383,128,2024-06-21,21.33,credit_card,REF-437856,2024-06-21T21:46:20
384,198,2023-10-10,163.33,check,REF-628506,2023-10-11T04:15:47
385,277,2023-08-15,27.55,wire,REF-473637,2023-08-16T21:02:09
386,15,2023-07-18,28.95,check,REF-107754,2023-07-18T17:27:12
387,138,2023-11-05,41.05,credit_card,REF-971233,2023-11-06T16:02:01
388,351,2023-08-21,20.90,credit_card,REF-344800,2023-08-21T18:30:16
389,262,2025-08-29,46.50,wire,REF-311441,2025-08-29T23:33:53
390,202,2023-02-21,205.02,ach,REF-402624,2023-02-21T09:45:03
391,21,2025-12-27,18.38,bank_transfer,REF-600344,2025-12-28T19:22:52
392,419,2024-10-25,191.42,credit_card,REF-840874,2024-10-26T19:21:41
393,336,2025-02-21,27.20,check,REF-748528,2025-02-21T15:51:53
394,206,2025-01-29,50.49,credit_card,REF-380595,2025-01-29T04:35:52
395,288,2025-11-30,796.25,bank_transfer,REF-764787,2025-12-01T21:27:58
396,107,2025-05-31,33.38,check,REF-616737,2025-06-01T03:06:54
397,495,2024-04-10,42.07,credit_card,REF-724659,2024-04-11T02:22:51
398,166,2025-09-02,349.96,credit_card,REF-447305,2025-09-02T09:40:15
399,99,2024-01-22,228.95,ach,REF-709992,2024-01-23T03:50:10
400,28,2025-11-04,158.75,bank_transfer,REF-192658,2025-11-05T00:20:03
