"DisplayName","Id","Category","PolicyDefinitionId","ParameterEffectDefaultValue","ParameterEffectAllowedValues","Parameters"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/dc1b5908-da05-4eed-a988-c5e32fdb682d","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/c5ecf495-6caa-445c-b431-04fda56c555a","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/e9c56c41-d453-4a80-af93-2331afeb3d82","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/889bfebf-7428-426e-a86f-79e2a7de2f71","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/23673f24-2594-43e9-9983-60a0be21bd76","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/6ee1c58c-a123-4cd6-8643-48b2f7ffb3e1","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/baa4c6de-b7cf-4b12-b436-6e40ef44c8cb","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/0ebe872d-7029-4292-88bc-ad3e2cf3772f","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/cac9e1c5-c3cb-47fa-8d4c-88b8559262d2","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/1513498c-3091-461a-b321-e9b433218d28","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/b55f2e8e-dc76-4262-a0e3-45f02200ff0e","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/1118afbc-c48d-43ae-931a-87b38956d40b","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/ed6ae75a-828f-4fea-88fd-dead1145f1dd","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/3234ff41-8bec-40a3-b5cb-109c95f1c8ce","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/d8624de8-47fe-47c0-bea0-2d8329b628fe","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/0e861bb0-d926-4cdb-b2d6-d59336b8f5b3","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/a9725bd4-a2ad-479f-a29b-5e163cada399","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/63a8eb0d-f030-4bc6-a1e4-6998f23aa160","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/4f925033-4d52-4619-909c-9c47a687dc51","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/60579569-3633-42cb-ae6a-195080bf310d","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/69e0da8f-ca50-479d-b1a8-33a31426c512","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/54c7cff6-a032-43e1-9656-d4c24665f805","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/14ed86b4-ea45-4b1b-98a5-eb8f5f7da726","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/818719e5-1338-4776-9a9d-3c31e4df5986","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/fc2bb2e1-739a-4a03-86a2-16ad55e90bd9","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/7a8afaba-cc24-4306-b83f-d178f1a10ba2","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/4cabf9fc-4ed1-4990-bbaf-7248fb8751bc","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/2f4d1c08-3695-41a7-a0a0-8db4a0e25233","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/56ae9f08-b8c9-4a0f-8f58-5dbcd63bef84","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/8def4bdd-4362-4ed6-a26f-7bf8f2c58839","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/0277b2d5-6e6f-4d97-9929-a5c4eab56fd7","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/d3abca82-2ae2-4707-bf5e-cfc765ce9ff1","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/93a604fe-0ec2-4a99-ab8c-7ef08f05555a","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/0da6faeb-d6c6-4f6e-9f49-06277493270b","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/8fc4ca5f-6abc-4b30-9565-0bd91ac49420","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/8d42b501-dd03-449d-a070-32d1db2e546b","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/6567d3f3-42d0-4cfb-9606-9741ba60fa07","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/3d28ea18-8e88-4160-96ff-4b6af4fd94c7","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/e99ab54f-260e-4925-a70f-8fe0a92443ef","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/2453e322-a7e5-4905-ba1e-ac6ea60ff808","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/305408ed-dd5a-43b9-80c1-9eea87a176bb","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/29565b0a-e1b5-49c1-94bf-b8b258656460","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/887dc342-c6bd-418b-9407-ab0e27deba36","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/f018b68f-d953-4238-81a3-94a0f39507e3","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/a271e156-b295-4537-b01d-09675d9e7851","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/068e22bd-8057-466b-9642-7cd2ca476158","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/a83fcddb-39d0-4c21-af38-76d2c935c3ca","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/a1a5f3c5-d01a-459c-8398-a3c9a79ad879","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/9dc3e252-1cff-4ae5-bcad-5a92b7167d43","DeployIfNotExists","System.Object[]","System.Object[]"
"Enable allLogs category group resource logging for supported resources to Log Analytics","/providers/Microsoft.Authorization/policySetDefinitions/0884adba-2312-4468-abeb-5422caed1038","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/1568dd08-cca0-4073-bfd8-e08a7fdc543e","DeployIfNotExists","System.Object[]","System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/c0d8e23a-47be-4032-961f-8b0ff3957061",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/3aa571d2-2e4f-4e92-8a30-4312860efbe1",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/244bcb20-b194-41f3-afcc-63aef382b64c",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/45c6bfc7-4520-4d64-a158-730cd92eedbc",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/a4490248-cb97-4504-b7fb-f906afdb7437",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/e9c22e0d-1f03-44da-a9d5-a9754ea53dc4",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/6f95136f-6544-4722-a354-25a18ddb18a7",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/cdd1dbc6-0004-4fcd-afd7-b67550de37ff",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/6bb23bce-54ea-4d3d-b07d-628ce0f2e4e3",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/bef3f64c-5290-43b7-85b0-9b254eef4c47",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/b889a06c-ec72-4b03-910a-cb169ee18721",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/b79fa14e-238a-4c2d-b376-442ce508fc84",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/7ea8a143-05e3-4553-abfe-f56bef8b0b70",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/1513498c-3091-461a-b321-e9b433218d28",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/59759c62-9a22-4cdf-ae64-074495983fef",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/b4fe1a3b-0715-4c6c-a5ea-ffc33cf823cb",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/25a70cc8-2bd4-47f1-90b6-1478e4662c96",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/7bd000e3-37c7-4928-9f31-86c4b77c5c45",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/2fb86bf3-d221-43d1-96d1-2434af34eaa0",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/6c66c325-74c8-42fd-a286-a74b0e2939d8",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/56288eb2-4350-461d-9ece-2bb242269dce",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/818719e5-1338-4776-9a9d-3c31e4df5986",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/8fc4ca5f-6abc-4b30-9565-0bd91ac49420",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/98a2e215-5382-489e-bd29-32e7190a39ba",,,"System.Object[]"
"[Preview]: Control the use of diagnostic settings for specific resources in a Virtual Enclave","/providers/Microsoft.Authorization/policySetDefinitions/0a9ea1cb-7925-47fc-b0fe-8bb0a8190423","VirtualEnclaves","/providers/Microsoft.Authorization/policyDefinitions/0277b2d5-6e6f-4d97-9929-a5c4eab56fd7",,,"System.Object[]"
"[Preview]: Configure Azure Defender for SQL agents on virtual machines","/providers/Microsoft.Authorization/policySetDefinitions/39a366e6-fdde-4f41-bbf8-3757f46d1611","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/2ada9901-073c-444a-9a9a-91865174f0aa","DeployIfNotExists","System.Object[]","System.Object[]"
"[Preview]: Configure Azure Defender for SQL agents on virtual machines","/providers/Microsoft.Authorization/policySetDefinitions/39a366e6-fdde-4f41-bbf8-3757f46d1611","Monitoring","/providers/Microsoft.Authorization/policyDefinitions/2ada9901-073c-444a-9a9a-91865174f0aa","DeployIfNotExists","System.Object[]","System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/d7c3ea3a-edf3-4bd5-bd64-d5b635b05393","Security Center","/providers/Microsoft.Authorization/policyDefinitions/09963c90-6ee7-4215-8d26-1cc660a1682f",,,"System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/d7c3ea3a-edf3-4bd5-bd64-d5b635b05393","Security Center","/providers/Microsoft.Authorization/policyDefinitions/f91991d1-5383-4c95-8ee5-5ac423dd8bb1",,,"System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/d7c3ea3a-edf3-4bd5-bd64-d5b635b05393","Security Center","/providers/Microsoft.Authorization/policyDefinitions/ddca0ddc-4e9d-4bbb-92a1-f7c4dd7ef7ce",,,"System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/d7c3ea3a-edf3-4bd5-bd64-d5b635b05393","Security Center","/providers/Microsoft.Authorization/policyDefinitions/242300d6-1bfc-4d64-8d01-cee583709ebd",,,"System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/d7c3ea3a-edf3-4bd5-bd64-d5b635b05393","Security Center","/providers/Microsoft.Authorization/policyDefinitions/c859b78a-a128-4376-a838-e97ce6625d16",,,"System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/d7c3ea3a-edf3-4bd5-bd64-d5b635b05393","Security Center","/providers/Microsoft.Authorization/policyDefinitions/3592ff98-9787-443a-af59-4505d0fe0786",,,"System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/d7c3ea3a-edf3-4bd5-bd64-d5b635b05393","Security Center","/providers/Microsoft.Authorization/policyDefinitions/65503269-6a54-4553-8a28-0065a8e6d929",,,"System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/d7c3ea3a-edf3-4bd5-bd64-d5b635b05393","Security Center","/providers/Microsoft.Authorization/policyDefinitions/da0fd392-9669-4ad4-b32c-ca46aaa6c21f",,,"System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/d7c3ea3a-edf3-4bd5-bd64-d5b635b05393","Security Center","/providers/Microsoft.Authorization/policyDefinitions/cbdd12e1-193a-445c-9926-560118c6daaa",,,"System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a user-defined LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/de01d381-bae9-4670-8870-786f89f49e26","Security Center","/providers/Microsoft.Authorization/policyDefinitions/09963c90-6ee7-4215-8d26-1cc660a1682f",,,"System.Object[]"
"Configure SQL VMs and Arc-enabled SQL Servers to install Microsoft Defender for SQL and AMA with a user-defined LA workspace","/providers/Microsoft.Authorization/policySetDefinitions/de01d381-bae9-4670-8870-786f89f49e26","Security Center","/providers/Microsoft.Authorization/policyDefinitions/f91991d1-5383-4c95-8ee5-5ac423dd8bb1",,,"System.Object[]"
