trifid,facility_name,street_address,city,state,zip_code,county_fips,county_name,latitude,longitude,primary_naics,industry_sector,number_of_employees,parent_company,federal_facility,reporting_year,chemical_id,chemical_name,cas_number,chemical_classification,carcinogen,pfas_chemical,metal_category,fugitive_air,stack_air,water_discharge,underground_injection,land_disposal,offsite_transfer,total_releases,onsite_recycled,onsite_energy_recovery,onsite_treated,source_reduction_activity,production_ratio,load_time
80926SVQGK,ACME REFINERY,3359 COMMERCE AVE,BATON ROUGE,NY,91016,00123,WILL,45.529574,-72.898962,322121,Chemicals,50,GLOBAL INDUSTRIES,False,2023,CH844155,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,163.39,23518.29,1846.44,0,0,9693.3,35221.42,5152.51,5781.66,2372.81,W12,0.8709,2023-07-01 08:00:00
37511OKVSX,PACIFIC MANUFACTURING,6583 INDUSTRIAL BLVD,NEWARK,NY,37712,00141,CUYAHOGA,26.242865,-73.273860,326199,Chemicals,50,DIVERSIFIED INC,False,2023,CH404477,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,2588.79,23192.69,727.75,0,0,3609.17,30118.4,4647.73,4496.64,8582.65,W51,1.0957,2023-07-01 08:00:00
61187MASIO,ACME MANUFACTURING,2293 INDUSTRIAL AVE,FLINT,CA,44502,00034,EAST BATON ROUGE,45.173635,-82.340700,331110,Transportation Equipment,250,DIVERSIFIED INC,False,2021,CH431659,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,1566.01,11870.19,1853.84,0,2189.36,2287.42,19766.82,3264.37,927.33,3497.3,W19,0.8371,2021-07-01 08:00:00
15214SAFTU,ACME PLASTICS INC,6690 MILL DR,BATON ROUGE,MI,90558,00075,COOK,37.918884,-85.331729,325110,Plastics,500,,False,2023,CH888414,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,121.5,10931.25,1888.52,924.92,0,5569.84,19436.03,3060.04,3510.2,4994.69,,0.6727,2023-07-01 08:00:00
49545ROJZC,PACIFIC PAPER MILL,5207 COMMERCE DR,FLINT,PA,11373,00147,GENESEE,38.071587,-113.094860,331110,Mining,1000,DIVERSIFIED INC,False,2023,CH445647,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,1570.15,7312.8,750.29,605.52,0,8372.89,18611.65,6393.83,1956.14,2930.71,,1.3323,2023-07-01 08:00:00
93597VCVCR,NATIONAL CHEMICAL CO,5637 FACTORY ST,PHILADELPHIA,NC,35511,00107,COOK,45.043132,-72.491315,322121,Hazardous Waste,250,,False,2020,CH360888,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,3538.98,2681.13,1970.99,0,0,1625.54,9816.64,3700.77,1834.98,2712.03,W14,0.5284,2020-07-01 08:00:00
14125UVHNO,ACME METALS INC,9340 FACTORY ST,PHILADELPHIA,FL,10008,00031,WAYNE,37.997043,-111.828611,326199,Hazardous Waste,2500,GLOBAL INDUSTRIES,False,2020,CH594339,CHROMIUM,7440-47-3,METAL,True,False,Chromium,4430.48,19012.94,534.44,0,0,3367.15,27345.01,5664.8,1805.22,7203.74,W59,0.6324,2020-07-01 08:00:00
91416FWNTW,SOUTHERN PAPER MILL,2838 INDUSTRIAL DR,NEWARK,OH,73580,00134,COOK,30.283093,-80.179459,336111,Petroleum,5000,,False,2023,CH319789,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,316.37,23013.68,1006.21,0,0,7037.01,31373.27,11300.86,2234.94,4045.08,W41,0.9937,2023-07-01 08:00:00
60705PSMGU,GLOBAL PAPER MILL,122 FACTORY BLVD,PHILADELPHIA,FL,37282,00082,WAYNE,39.437908,-94.021799,324110,Primary Metals,100,MEGA CORP,False,2021,CH116306,CHROMIUM,7440-47-3,METAL,True,False,Chromium,3113.06,4689.44,1222.12,0,0,5972.92,14997.54,3494.81,2901.11,2104.89,W14,1.077,2021-07-01 08:00:00
62404QPHTC,AMERICAN REFINERY,3301 COMMERCE RD,DETROIT,GA,16864,00032,WAYNE,47.490007,-117.081173,331110,Hazardous Waste,2500,,False,2020,CH186433,ARSENIC,7440-38-2,METAL,True,False,Arsenic,2655.87,743.98,1948.7,0,0,755.37,6103.92,1536.4,409.53,582.79,,0.9359,2020-07-01 08:00:00
64691QRNOJ,ACME PAPER MILL,9753 COMMERCE BLVD,BATON ROUGE,NC,88569,00021,COOK,25.306933,-71.533622,562211,Chemicals,100,US CONGLOMERATE,False,2023,CH100530,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,4521.07,1081.97,475.65,0,0,1526.2,7604.89,2675.78,391.38,2116.39,W12,1.3949,2023-07-01 08:00:00
10800XVONR,MIDWEST INDUSTRIES,7450 INDUSTRIAL ST,CLEVELAND,GA,81148,00117,LAKE,30.853803,-85.817268,311611,Chemicals,5000,DIVERSIFIED INC,False,2021,CH230614,CHROMIUM,7440-47-3,METAL,True,False,Chromium,1112.34,2318.79,661.12,0,0,5299.2,9391.45,2105.68,114.73,602.23,W51,0.9692,2021-07-01 08:00:00
68544ISSNC,UNITED REFINERY,876 COMMERCE BLVD,GARY,CA,59443,00105,HARRIS,33.776652,-71.634425,311611,Primary Metals,50,GLOBAL INDUSTRIES,False,2021,CH530905,CHROMIUM,7440-47-3,METAL,True,False,Chromium,3132.79,21304.69,46.36,0,2165.35,3144.83,29794.02,10514.65,779.12,1258.74,W41,0.9782,2021-07-01 08:00:00
53128QRHXR,MIDWEST METALS INC,9616 MILL BLVD,GARY,NC,27810,00055,HARRIS,35.769908,-110.587197,212231,Plastics,2500,,False,2022,CH260343,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,756.61,22933.09,1637.44,0,0,5631.15,30958.29,10412.67,3228.31,8380.61,,1.2027,2022-07-01 08:00:00
89236HGBOI,EASTERN CHEMICAL CO,8752 INDUSTRIAL ST,BATON ROUGE,FL,93552,00075,LOS ANGELES,30.627026,-108.987149,562211,Petroleum,250,GLOBAL INDUSTRIES,False,2020,CH834361,LEAD,7439-92-1,METAL,False,False,Lead,1233.27,1560.81,322.92,0,2474.79,2392.78,7984.57,709.21,110.04,1051.05,,1.046,2020-07-01 08:00:00
47949KEBRK,UNITED PLASTICS INC,2688 FACTORY ST,BEAUMONT,PA,79304,00077,GENESEE,37.919993,-74.258408,221112,Primary Metals,50,DIVERSIFIED INC,False,2023,CH827155,ARSENIC,7440-38-2,METAL,True,False,Arsenic,2157.61,10447.41,320.39,0,1235.57,9743.5,23904.48,1415.52,4048.67,977.25,W51,1.4138,2023-07-01 08:00:00
92986MJZUA,GLOBAL ELECTRIC POWER,2341 FACTORY BLVD,HOUSTON,OH,19984,00192,JEFFERSON,42.747946,-101.459529,324110,Chemicals,250,,False,2021,CH321828,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,994.89,22369.6,948.67,0,0,3779.83,28092.99,3597.19,1659.53,1079.0,,1.199,2021-07-01 08:00:00
81263LTSRH,PACIFIC INDUSTRIES,8370 FACTORY AVE,JOLIET,GA,68991,00119,GENESEE,45.160909,-99.299961,325110,Mining,250,US CONGLOMERATE,False,2020,CH194004,LEAD,7439-92-1,METAL,False,False,Lead,4213.43,13512.34,1795.69,540.18,1341.37,9463.06,30866.07,2470.49,5803.56,3382.19,,1.418,2020-07-01 08:00:00
47899AIYJD,GLOBAL PLASTICS INC,3505 INDUSTRIAL AVE,BEAUMONT,CA,43050,00188,LAKE,36.329271,-81.124351,322121,Petroleum,50,,False,2021,CH523351,ARSENIC,7440-38-2,METAL,True,False,Arsenic,388.23,20601.41,1080.68,0,0,7892.05,29962.37,6955.09,3381.7,1303.77,W19,1.3564,2021-07-01 08:00:00
46433OXSXM,MIDWEST FOUNDRY,2386 MILL BLVD,FLINT,CA,98754,00042,JEFFERSON,28.239859,-120.901491,326199,Chemicals,2500,MEGA CORP,False,2023,CH888924,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,3614.37,24082.01,1860.03,0,0,8410.7,37967.11,13469.75,6086.28,1485.25,,0.7815,2023-07-01 08:00:00
80502GDKKP,SOUTHERN PROCESSING,3760 MILL DR,FLINT,PA,53306,00067,LOS ANGELES,38.610190,-109.747301,336111,Petroleum,100,GLOBAL INDUSTRIES,False,2022,CH765884,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,1737.15,1147.45,6.87,0,0,8221.08,11112.55,4032.5,452.89,3211.8,,1.315,2022-07-01 08:00:00
39624KLEUG,EASTERN MANUFACTURING,4094 COMMERCE ST,NEWARK,FL,16535,00050,JEFFERSON,39.344101,-93.295699,324110,Electric Utilities,5000,,False,2020,CH631746,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,3878.99,4197.32,754.32,0,0,8349.24,17179.87,5120.88,1474.11,3235.66,W41,1.2686,2020-07-01 08:00:00
14203WBBQG,AMERICAN PLASTICS INC,4986 FACTORY ST,PHILADELPHIA,NY,47523,00041,JEFFERSON,38.375332,-78.859342,336111,Mining,250,MEGA CORP,False,2020,CH759811,ARSENIC,7440-38-2,METAL,True,False,Arsenic,4290.92,6590.59,1036.83,0,0,6435.51,18353.85,6745.83,1806.14,3267.19,,1.3306,2020-07-01 08:00:00
95728UFDKI,UNITED ELECTRIC POWER,4913 COMMERCE ST,GARY,FL,59237,00172,GENESEE,45.343372,-100.282938,212231,Hazardous Waste,250,,True,2021,CH946498,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,4779.97,23004.83,1430.04,0,0,9747.77,38962.61,6308.06,2260.89,11185.49,W52,0.6742,2021-07-01 08:00:00
37010FDYMR,NATIONAL MANUFACTURING,7863 MILL RD,BATON ROUGE,IL,76455,00071,LAKE,44.540234,-99.899702,326199,Paper,5000,DIVERSIFIED INC,False,2023,CH760008,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,908.39,77.38,469.09,0,0,993.19,2448.05,909.26,183.84,355.26,W19,0.8544,2023-07-01 08:00:00
23569XMONT,MIDWEST INDUSTRIES,8375 PLANT ST,BEAUMONT,FL,40649,00090,WAYNE,25.777549,-116.224774,322121,Chemicals,250,,False,2021,CH456611,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,3114.92,9725.73,1808.5,0,0,5898.69,20547.84,1163.18,520.19,1880.29,,0.5802,2021-07-01 08:00:00
84076QGOHS,MIDWEST FOUNDRY,1936 PLANT ST,GARY,PA,78599,00105,LOS ANGELES,37.646777,-85.228537,311611,Chemicals,1000,,False,2023,CH615089,ARSENIC,7440-38-2,METAL,True,False,Arsenic,1875.96,3460.07,248.97,447.82,0,2303.44,8336.26,933.86,414.0,100.13,,1.3715,2023-07-01 08:00:00
35729RLVVM,ACME MANUFACTURING,9179 PLANT RD,BATON ROUGE,TX,48702,00068,JEFFERSON,30.712347,-86.313228,212231,Primary Metals,100,,False,2022,CH906088,METHANOL,67-56-1,ORGANIC,False,False,Non-Metal,3699.16,15164.68,1639.96,323.4,0,7032.64,27859.84,8234.76,3929.53,5733.41,W19,0.6702,2022-07-01 08:00:00
98856OOQZX,NATIONAL REFINERY,3758 FACTORY DR,NEWARK,PA,71959,00193,LOS ANGELES,35.011565,-100.218773,331110,Plastics,1000,,False,2023,CH455560,SELENIUM,7782-49-2,METAL,False,False,Selenium,3400.81,6612.9,1634.88,0,2895.4,7644.39,22188.38,6341.92,4421.57,932.79,W41,1.0712,2023-07-01 08:00:00
55563SWJRK,ACME PROCESSING,4969 MILL ST,NEWARK,CA,73045,00181,WILL,36.692850,-122.202220,221112,Electric Utilities,100,GLOBAL INDUSTRIES,False,2023,CH233855,CHROMIUM,7440-47-3,METAL,True,False,Chromium,141.31,7781.11,758.3,0,0,5758.45,14439.17,1695.83,166.75,3682.67,W52,1.353,2023-07-01 08:00:00
86672TJPXL,ACME FOUNDRY,7005 PLANT BLVD,FLINT,TX,96439,00184,HARRIS,43.092591,-99.234916,212231,Primary Metals,1000,GLOBAL INDUSTRIES,False,2021,CH863440,CHROMIUM,7440-47-3,METAL,True,False,Chromium,4043.02,21769.65,469.08,0,2930.3,8964.62,38176.67,3002.27,3422.85,4116.87,W19,0.8929,2021-07-01 08:00:00
64558KHZHZ,GLOBAL PLASTICS INC,6621 MILL RD,CHICAGO,IL,98538,00166,WILL,32.468255,-77.838897,311611,Plastics,50,,False,2021,CH385513,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,823.69,16024.66,1547.5,0,0,4353.89,22749.74,5444.14,2250.3,401.09,W52,1.4665,2021-07-01 08:00:00
71199CHHNM,NATIONAL PROCESSING,4555 COMMERCE BLVD,GARY,OH,65619,00145,WAYNE,35.726438,-78.492936,221112,Electric Utilities,5000,,False,2021,CH410192,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,3072.09,3263.09,420.69,0,0,6554.52,13310.39,1740.84,1142.6,2503.13,,0.5641,2021-07-01 08:00:00
44112SPMXT,PACIFIC MANUFACTURING,7384 FACTORY AVE,CHICAGO,CA,58528,00035,COOK,33.788313,-109.257279,331110,Chemicals,100,,False,2023,CH328227,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,944.32,8297.85,1571.06,0,1640.82,6221.68,18675.73,6209.76,1846.66,5476.21,W19,0.9614,2023-07-01 08:00:00
19834HKREG,UNITED CHEMICAL CO,6617 PLANT ST,PHILADELPHIA,FL,43203,00166,EAST BATON ROUGE,25.210587,-108.017151,562211,Hazardous Waste,5000,,False,2023,CH969048,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,1531.99,2773.12,122.66,0,0,9313.91,13741.68,2466.29,1663.67,3185.7,W19,1.28,2023-07-01 08:00:00
12323RPPFK,ACME METALS INC,1295 INDUSTRIAL RD,CHICAGO,IL,29415,00149,CUYAHOGA,41.991768,-92.664906,311611,Primary Metals,50,US CONGLOMERATE,False,2020,CH376477,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,1156.25,15071.45,886.04,679.39,0,3981.24,21774.37,3767.05,3893.95,6360.62,W41,0.8471,2020-07-01 08:00:00
21290MDRGC,UNITED ELECTRIC POWER,2950 PLANT AVE,BATON ROUGE,FL,65991,00009,HARRIS,29.491062,-77.837785,221112,Food,50,GLOBAL INDUSTRIES,False,2022,CH244362,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,6.91,9132.12,664.3,0,2108.44,353.81,12265.58,3980.01,734.71,1544.69,W19,0.7037,2022-07-01 08:00:00
58695YIXKU,AMERICAN METALS INC,9554 MILL ST,HOUSTON,OH,84093,00106,WAYNE,36.884158,-98.819679,212231,Primary Metals,2500,GLOBAL INDUSTRIES,False,2021,CH282717,ARSENIC,7440-38-2,METAL,True,False,Arsenic,4607.86,16070.51,1364.42,0,0,320.75,22363.54,4084.85,2379.14,313.75,,1.1893,2021-07-01 08:00:00
38290RZVNV,UNITED INDUSTRIES,7262 PLANT BLVD,BEAUMONT,NY,71379,00047,WILL,37.030968,-105.868067,324110,Primary Metals,100,,False,2023,CH501323,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,4291.64,24585.41,1571.17,0,1168.11,8434.78,40051.11,10507.23,5962.37,5129.72,,0.6648,2023-07-01 08:00:00
29238EXCTK,UNITED INDUSTRIES,1203 MILL DR,DETROIT,NC,84781,00064,EAST BATON ROUGE,42.750578,-99.768598,325110,Plastics,1000,,False,2022,CH410078,ARSENIC,7440-38-2,METAL,True,False,Arsenic,4296.77,24765.63,1764.76,818.28,0,1328.17,32973.61,3742.53,4458.92,6373.96,W59,0.7755,2022-07-01 08:00:00
33937PRPIR,SOUTHERN FOUNDRY,9899 COMMERCE DR,BATON ROUGE,MI,47078,00088,GENESEE,26.634601,-117.616715,221112,Plastics,50,MEGA CORP,False,2023,CH375966,PFOS,1763-23-1,ORGANIC,False,True,Non-Metal,4469.06,23250.67,1759.74,0,0,8673.65,38153.12,6302.3,6941.86,1951.09,W19,0.5567,2023-07-01 08:00:00
70686XSNWE,AMERICAN PAPER MILL,9651 INDUSTRIAL DR,CLEVELAND,PA,96494,00121,COOK,29.677758,-108.815162,212231,Transportation Equipment,50,MEGA CORP,False,2021,CH640388,LEAD,7439-92-1,METAL,False,False,Lead,2007.75,1123.85,1566.73,0,1754.73,4049.41,10502.47,1091.82,553.1,2214.17,W51,0.7229,2021-07-01 08:00:00
10267TDUPE,MIDWEST METALS INC,8162 MILL AVE,FLINT,IL,18401,00139,WILL,40.633151,-73.715529,336111,Plastics,100,,False,2020,CH901261,CHROMIUM,7440-47-3,METAL,True,False,Chromium,834.48,11729.97,1016.69,412.01,173.02,4171.09,18337.26,3336.59,2170.63,4863.52,,1.2664,2020-07-01 08:00:00
12773SKGZX,AMERICAN PLASTICS INC,1075 PLANT ST,NEWARK,NY,20392,00078,WILL,45.990483,-99.943212,325110,Food,5000,MEGA CORP,True,2020,CH247212,LEAD,7439-92-1,METAL,False,False,Lead,4424.8,11046.7,1480.57,0,0,9624.59,26576.66,30.82,2303.03,6036.94,W59,0.9566,2020-07-01 08:00:00
46407XUTZE,ACME PAPER MILL,822 COMMERCE AVE,DETROIT,MI,61920,00089,WAYNE,43.467045,-89.147977,325110,Chemicals,500,MEGA CORP,False,2020,CH921648,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,118.95,4603.65,801.42,0,0,8650.64,14174.66,2029.79,1329.88,2765.8,,1.131,2020-07-01 08:00:00
95243ZWYFI,GLOBAL REFINERY,7058 FACTORY RD,BEAUMONT,TX,83338,00170,COOK,41.137521,-77.920734,336111,Hazardous Waste,1000,MEGA CORP,False,2023,CH569137,ARSENIC,7440-38-2,METAL,True,False,Arsenic,2990.95,12618.46,995.75,0,0,5479.62,22084.78,2986.52,1665.46,5826.24,W13,1.4297,2023-07-01 08:00:00
72658IKITK,PACIFIC CHEMICAL CO,3028 PLANT BLVD,FLINT,IL,66463,00055,COOK,47.922700,-78.258211,322121,Chemicals,250,US CONGLOMERATE,False,2022,CH427320,SELENIUM,7782-49-2,METAL,False,False,Selenium,2802.28,10103.41,1212.46,0,0,983.33,15101.48,5372.87,396.83,3218.52,W12,1.368,2022-07-01 08:00:00
81247ORSCS,GLOBAL METALS INC,5379 MILL ST,HOUSTON,TX,42626,00151,LOS ANGELES,41.768159,-107.285773,322121,Petroleum,1000,,False,2021,CH453094,PFOS,1763-23-1,ORGANIC,False,True,Non-Metal,792.77,6624.94,140.87,476.86,0,7048.88,15084.32,1817.95,1798.03,3214.49,W41,1.3546,2021-07-01 08:00:00
25095UDPIX,MIDWEST CHEMICAL CO,7858 COMMERCE DR,GARY,PA,80463,00104,WAYNE,40.404998,-98.027035,331110,Hazardous Waste,2500,,False,2020,CH117299,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,4932.88,4139.57,1379.26,0,0,8742.12,19193.83,3782.68,3811.81,1240.9,W14,0.7724,2020-07-01 08:00:00
75038BTKRE,GLOBAL PAPER MILL,8743 INDUSTRIAL AVE,CHICAGO,PA,56735,00050,JEFFERSON,33.286438,-116.173398,325110,Mining,500,US CONGLOMERATE,True,2021,CH355772,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,220.65,11363.45,622.03,0,0,8710.38,20916.51,7324.97,2484.95,2839.74,W12,0.6573,2021-07-01 08:00:00
79370NBCDO,ATLANTIC INDUSTRIES,1042 PLANT DR,DETROIT,GA,85271,00166,WILL,46.978116,-87.830767,562211,Hazardous Waste,5000,DIVERSIFIED INC,False,2020,CH363927,LEAD,7439-92-1,METAL,False,False,Lead,995.06,8772.53,1198.87,0,0,5901.84,16868.3,6444.85,142.01,2836.67,,0.6315,2020-07-01 08:00:00
31949FLGWV,AMERICAN FOUNDRY,6873 INDUSTRIAL RD,FLINT,CA,94061,00118,WILL,42.622425,-80.180814,324110,Paper,1000,,False,2021,CH104872,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,2675.14,20130.21,1278.41,0,0,5114.85,29198.61,1298.92,1634.12,213.09,W59,0.5722,2021-07-01 08:00:00
89939GZEBF,ACME MANUFACTURING,215 MILL DR,NEWARK,GA,40252,00200,CUYAHOGA,29.650632,-84.939843,212231,Food,50,MEGA CORP,False,2023,CH930891,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,1493.49,19319.95,1567.48,0,0,4877.04,27257.96,9584.76,31.42,4827.32,,0.8875,2023-07-01 08:00:00
49816WEXMP,AMERICAN PAPER MILL,8404 PLANT ST,HOUSTON,NY,56787,00058,EAST BATON ROUGE,30.273408,-74.837191,221112,Petroleum,1000,GLOBAL INDUSTRIES,False,2022,CH733222,CHROMIUM,7440-47-3,METAL,True,False,Chromium,4558.06,24052.68,1824.32,605.82,0,9078.91,40119.79,15753.93,7024.4,5973.08,,1.3004,2022-07-01 08:00:00
58950TJQRK,EASTERN METALS INC,6624 INDUSTRIAL RD,JOLIET,OH,90466,00193,COOK,28.792428,-106.943846,325110,Transportation Equipment,1000,GLOBAL INDUSTRIES,False,2022,CH114397,METHANOL,67-56-1,ORGANIC,False,False,Non-Metal,127.17,6373.53,1035.73,0,0,647.72,8184.15,185.17,745.64,410.83,W51,0.9168,2022-07-01 08:00:00
65012DVHGZ,PACIFIC ELECTRIC POWER,5390 COMMERCE DR,BEAUMONT,OH,91988,00172,CUYAHOGA,35.701645,-92.475504,325110,Food,5000,DIVERSIFIED INC,True,2021,CH276484,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,3259.96,9195.36,1026.46,831.43,993.4,1125.17,16431.78,296.53,2382.98,1364.15,W13,0.5279,2021-07-01 08:00:00
70666UOKUW,PACIFIC REFINERY,1607 PLANT ST,PHILADELPHIA,TX,45974,00023,COOK,32.900344,-75.377730,325110,Transportation Equipment,5000,US CONGLOMERATE,False,2020,CH798826,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,1252.0,4237.55,1273.27,0,0,9103.53,15866.35,2427.94,1609.66,123.49,W12,0.9592,2020-07-01 08:00:00
86168RAVKK,PACIFIC REFINERY,6134 COMMERCE AVE,HOUSTON,IL,77467,00090,JEFFERSON,41.725599,-70.466098,562211,Hazardous Waste,2500,GLOBAL INDUSTRIES,False,2021,CH575688,ARSENIC,7440-38-2,METAL,True,False,Arsenic,3673.98,3385.22,971.18,662.98,0,9460.49,18153.85,1376.79,2434.63,640.67,W19,1.3662,2021-07-01 08:00:00
35788RFFUN,MIDWEST INDUSTRIES,426 FACTORY ST,BATON ROUGE,CA,35508,00164,JEFFERSON,32.206243,-81.267533,322121,Petroleum,2500,GLOBAL INDUSTRIES,False,2022,CH243798,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,1966.88,20381.12,1808.66,0,0,506.57,24663.23,7598.81,4108.99,1785.14,W19,0.5365,2022-07-01 08:00:00
20795UVMKC,AMERICAN INDUSTRIES,7605 PLANT RD,BATON ROUGE,OH,43025,00007,HARRIS,36.090967,-98.415015,325110,Mining,250,GLOBAL INDUSTRIES,False,2021,CH951914,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,2652.6,8968.93,243.87,285.39,0,2524.67,14675.46,1361.31,1844.0,175.1,W14,0.8257,2021-07-01 08:00:00
93566PUMMJ,ACME FOUNDRY,9085 FACTORY RD,LOS ANGELES,FL,96938,00187,GENESEE,42.071606,-121.737216,326199,Primary Metals,5000,MEGA CORP,False,2022,CH804189,TOLUENE,108-88-3,ORGANIC,False,False,Non-Metal,2230.94,18019.43,712.04,0,0,2588.63,23551.04,5145.91,752.35,3602.44,W19,0.9803,2022-07-01 08:00:00
67055XLEIJ,ACME ELECTRIC POWER,2108 PLANT DR,CLEVELAND,TX,28470,00102,CUYAHOGA,46.990830,-99.178803,322121,Primary Metals,500,,False,2023,CH232669,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,4613.3,24293.72,211.7,0,0,4641.97,33760.69,9244.64,3950.01,4308.77,,0.6771,2023-07-01 08:00:00
15986CMKRK,NATIONAL INDUSTRIES,4881 COMMERCE DR,DETROIT,CA,88032,00099,LAKE,44.951683,-115.739097,325110,Hazardous Waste,50,,False,2023,CH253616,METHYLENE CHLORIDE,75-09-2,ORGANIC,False,False,Non-Metal,1269.66,3881.59,1564.23,0,0,2809.74,9525.22,2409.03,717.28,366.02,,0.5791,2023-07-01 08:00:00
29195XPNMN,NATIONAL ELECTRIC POWER,2101 PLANT AVE,JOLIET,IL,43539,00023,COOK,39.120489,-94.789537,325110,Hazardous Waste,1000,MEGA CORP,False,2022,CH192633,BENZENE,71-43-2,ORGANIC,True,False,Non-Metal,3930.51,1589.73,65.85,0,1127.87,9542.88,16256.84,872.4,714.69,3510.14,W51,0.6418,2022-07-01 08:00:00
18418QARLI,ACME PLASTICS INC,3109 PLANT DR,CHICAGO,PA,73316,00175,WILL,44.510377,-84.685316,221112,Chemicals,50,,False,2021,CH873927,ARSENIC,7440-38-2,METAL,True,False,Arsenic,3639.78,24712.63,130.07,0,197.12,3057.98,31737.58,1522.07,5318.86,256.77,W51,0.7311,2021-07-01 08:00:00
39970MRENB,PACIFIC CHEMICAL CO,1552 FACTORY BLVD,CLEVELAND,PA,41017,00136,HARRIS,27.736638,-90.152979,336111,Mining,500,DIVERSIFIED INC,False,2022,CH563528,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,3956.75,23514.42,1309.61,0,0,800.24,29581.02,11437.72,4258.38,6064.83,W51,0.939,2022-07-01 08:00:00
53586EWBSP,MIDWEST ELECTRIC POWER,5569 MILL BLVD,PHILADELPHIA,TX,74958,00057,GENESEE,33.125289,-76.252417,324110,Electric Utilities,100,US CONGLOMERATE,False,2023,CH497555,CHROMIUM,7440-47-3,METAL,True,False,Chromium,727.92,18211.95,1670.95,0,0,2109.51,22720.33,343.6,117.41,2938.18,W12,0.5156,2023-07-01 08:00:00
86013UZRNZ,SOUTHERN CHEMICAL CO,8584 INDUSTRIAL DR,GARY,PA,86505,00193,LOS ANGELES,33.380915,-83.714623,562211,Transportation Equipment,250,,False,2022,CH673085,POLYCHLORINATED BIPHENYLS,1336-36-3,DIOXIN,True,False,Non-Metal,4633.15,58.31,505.54,0,0,8029.3,13226.3,1819.48,503.37,2692.5,W51,0.7736,2022-07-01 08:00:00
41515YOISM,EASTERN ELECTRIC POWER,3463 COMMERCE ST,BEAUMONT,MI,22231,00193,WAYNE,25.803425,-90.081826,322121,Hazardous Waste,1000,GLOBAL INDUSTRIES,True,2023,CH249717,LEAD,7439-92-1,METAL,False,False,Lead,3415.3,539.15,612.42,0,0,3293.38,7860.25,2220.48,1249.34,1227.39,W51,1.4474,2023-07-01 08:00:00
73803JNCVT,ACME PROCESSING,2209 INDUSTRIAL RD,NEWARK,TX,93363,00152,GENESEE,33.162999,-103.659299,212231,Plastics,2500,DIVERSIFIED INC,False,2021,CH999973,PFOA,335-67-1,ORGANIC,False,True,Non-Metal,392.95,4913.22,1486.78,53.51,1120.91,7988.02,15955.39,5932.24,1342.25,4732.78,,0.7555,2021-07-01 08:00:00
61912AJMVE,AMERICAN FOUNDRY,552 FACTORY AVE,JOLIET,TX,21195,00065,WAYNE,27.100126,-112.487150,324110,Transportation Equipment,50,GLOBAL INDUSTRIES,False,2022,CH473381,ETHYLENE OXIDE,75-21-8,ORGANIC,True,False,Non-Metal,2614.6,11683.21,620.11,0,0,8358.58,23276.5,5330.17,4525.81,6266.95,W14,1.4733,2022-07-01 08:00:00
